名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,與其他資料集共用資源,最大記錄數,檔案類欄位,實際型態
連江縣國民中學原住民學生數－族別,政府開放資料平臺,,PDF,1,OGDL-1.0,2021/12/8 下午 02:15:11,https://odportal.tw/dataset/bQybCuWZ,https://data.gov.tw/dataset/146857,二進位,1,1,,,,pdf
部落觀光遊程,政府開放資料平臺,,CSV,1,OGDL-1.0,2024/7/10 上午 10:51:34,https://odportal.tw/dataset/TnAduz-l,https://data.gov.tw/dataset/38828,真資料,1,1,,15,,text
統計區原住民15歲以上人口十歲年齡組婚姻狀況人口統計,政府開放資料平臺,,XML,44,OGDL-1.0,2026/6/24 上午 10:58:03,https://odportal.tw/dataset/xDfeCVqE,https://data.gov.tw/dataset/18676,真資料,44,2,,250,,xml
統計區原住民15歲以上人口十歲年齡組教育程度人口統計,政府開放資料平臺,,XML,44,OGDL-1.0,2026/5/26 下午 04:35:05,https://odportal.tw/dataset/dyqsJ0lr,https://data.gov.tw/dataset/18670,真資料,44,2,,96,,xml
統計區原住民15歲以上人口十歲年齡組與性別與婚姻狀況人口統計,政府開放資料平臺,,XML,22,OGDL-1.0,2026/5/26 下午 04:37:07,https://odportal.tw/dataset/v6aqipor,https://data.gov.tw/dataset/18678,真資料,22,2,,121,,xml
統計區原住民15歲以上人口十歲年齡組與性別與教育程度人口統計,政府開放資料平臺,,XML,44,OGDL-1.0,2026/7/1 上午 11:40:14,https://odportal.tw/dataset/q9pI3FLP,https://data.gov.tw/dataset/18672,真資料,44,2,,123,,xml
統計區原住民人口指標,政府開放資料平臺,,XML,44,OGDL-1.0,2026/5/26 下午 04:12:22,https://odportal.tw/dataset/pi1nWNNF,https://data.gov.tw/dataset/18650,真資料,44,2,,848,,xml
統計區原住民人口統計,政府開放資料平臺,,XML,44,OGDL-1.0,2026/5/26 下午 04:10:19,https://odportal.tw/dataset/id9FRSuX,https://data.gov.tw/dataset/18645,真資料,44,2,,665,,xml
統計區原住民十歲年齡組人口統計,政府開放資料平臺,,XML,44,OGDL-1.0,2026/5/26 下午 04:20:38,https://odportal.tw/dataset/_ioL5whz,https://data.gov.tw/dataset/18657,真資料,44,2,,571,,xml
統計區原住民十歲年齡組性別人口統計,政府開放資料平臺,,XML,44,OGDL-1.0,2026/5/26 下午 04:13:24,https://odportal.tw/dataset/eyLQQTP9,https://data.gov.tw/dataset/18665,真資料,44,2,,283,,xml
